typeURI;assetId.identificator;assetId.toegekendDoor;datumOprichtingObject;geometry;isActief;isPtz;merk;naam;opstelhoogte;toestand
https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Camera;04f13426-2a01-481f-8b4b-3bbeed175942-b25kZXJkZWVsI0NhbWVyYQ;AWV;;POINT Z (62261.1 181419.4 0);True;True;;CAMWMIA13;;in-gebruik
https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Camera;053f9b34-c416-4e0c-9669-144467f9f91a-b25kZXJkZWVsI0NhbWVyYQ;AWV;2010-01-01;POINT Z (177678.3 181426.9 0);True;True;;CAMV6130;;in-gebruik
https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Camera;05550815-158a-41be-9576-f88e84644abc-b25kZXJkZWVsI0NhbWVyYQ;AWV;;;True;True;;CAMV6422;;in-ontwerp
https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Camera;0561afe2-a87e-44d7-9016-b98599a4bb27-b25kZXJkZWVsI0NhbWVyYQ;AWV;2014-01-13;POINT Z (204018.9 196535.3 0);True;True;;CAML2045;;in-gebruik
https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Camera;05808dd6-d50c-44d7-93e9-547fdf97b05b-b25kZXJkZWVsI0NhbWVyYQ;AWV;2010-01-01;POINT Z (158770 163985 0);True;False;;CAMV6040;;in-gebruik
https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Camera;058db0a0-4c84-4ca5-9c7d-0db90c46ef72-b25kZXJkZWVsI0NhbWVyYQ;AWV;2010-01-01;POINT Z (162063.98 173231.39 0);True;False;;;;in-gebruik
https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Camera;058c8752-73a1-4b31-9ffb-cc1ed6edf833-b25kZXJkZWVsI0NhbWVyYQ;AWV;;POINT Z (151733.7 212145.5 0);True;False;;CAMA0922;;in-gebruik
https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Camera;0589c004-4d0e-40aa-8d01-3bf311236891-b25kZXJkZWVsI0NhbWVyYQ;AWV;2010-01-01;POINT Z (166830.1 209611.2 0);True;False;;CAMA0258;;in-gebruik
https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Camera;0617d4dc-1b97-42da-94eb-c8c224cc801f-b25kZXJkZWVsI0NhbWVyYQ;AWV;2010-01-01;POINT Z (164757.4 210083 0);True;False;;CAMA0253;;in-gebruik
https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Camera;067f20e6-3a69-4857-a4ea-6627ed800268-b25kZXJkZWVsI0NhbWVyYQ;AWV;;POINT Z (61701.3 209382.3 0);True;False;;PARKJAB2;;in-gebruik
